,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,Attendance,Time
175,1993-11-27,Oldham,Norwich,2.0,1.0,H,,,,,,,
176,1993-11-27,Arsenal,Newcastle,2.0,1.0,H,,,,,,,
177,1993-11-27,Coventry,Man United,0.0,1.0,A,,,,,,,
178,1993-11-27,Ipswich,Blackburn,1.0,0.0,H,,,,,,,
179,1993-11-27,Leeds,Swindon,3.0,0.0,H,,,,,,,
180,1993-11-27,Man City,Sheffield Weds,1.0,3.0,A,,,,,,,
181,1993-11-27,QPR,Tottenham,1.0,1.0,D,,,,,,,
182,1993-11-27,Sheffield United,Chelsea,1.0,0.0,H,,,,,,,
183,1993-11-27,Wimbledon,Everton,1.0,1.0,D,,,,,,,
184,1993-11-28,Liverpool,Aston Villa,2.0,1.0,H,,,,,,,
185,1993-11-29,Southampton,West Ham,0.0,2.0,A,,,,,,,
186,1993-12-04,Tottenham,Newcastle,1.0,2.0,A,,,,,,,
187,1993-12-04,Swindon,Sheffield United,0.0,0.0,D,,,,,,,
188,1993-12-04,Sheffield Weds,Liverpool,3.0,1.0,H,,,,,,,
189,1993-12-04,QPR,Aston Villa,2.0,2.0,D,,,,,,,
190,1993-12-04,Wimbledon,West Ham,1.0,2.0,A,,,,,,,
191,1993-12-04,Leeds,Man City,3.0,2.0,H,,,,,,,
192,1993-12-04,Ipswich,Oldham,0.0,0.0,D,,,,,,,
193,1993-12-04,Everton,Southampton,1.0,0.0,H,,,,,,,
194,1993-12-04,Coventry,Arsenal,1.0,0.0,H,,,,,,,
195,1993-12-04,Man United,Norwich,2.0,2.0,D,,,,,,,
196,1993-12-05,Blackburn,Chelsea,2.0,0.0,H,,,,,,,
197,1993-12-06,Arsenal,Tottenham,1.0,1.0,D,,,,,,,
198,1993-12-07,Oldham,Swindon,2.0,1.0,H,,,,,,,
199,1993-12-07,Sheffield United,Man United,0.0,3.0,A,,,,,,,
200,1993-12-08,Aston Villa,Sheffield Weds,2.0,2.0,D,,,,,,,
201,1993-12-08,Liverpool,QPR,3.0,2.0,H,,,,,,,
202,1993-12-08,Man City,Everton,1.0,0.0,H,,,,,,,
203,1993-12-08,Southampton,Ipswich,0.0,1.0,A,,,,,,,
204,1993-12-08,West Ham,Leeds,0.0,1.0,A,,,,,,,
205,1993-12-11,Southampton,QPR,0.0,1.0,A,,,,,,,
206,1993-12-11,West Ham,Coventry,3.0,2.0,H,,,,,,,
207,1993-12-11,Sheffield United,Everton,0.0,0.0,D,,,,,,,
208,1993-12-11,Oldham,Blackburn,1.0,2.0,A,,,,,,,
209,1993-12-11,Newcastle,Man United,1.0,1.0,D,,,,,,,
210,1993-12-11,Liverpool,Swindon,2.0,2.0,D,,,,,,,
211,1993-12-11,Chelsea,Ipswich,1.0,1.0,D,,,,,,,
212,1993-12-11,Aston Villa,Wimbledon,0.0,1.0,A,,,,,,,
213,1993-12-11,Man City,Tottenham,0.0,2.0,A,,,,,,,
214,1993-12-12,Arsenal,Sheffield Weds,1.0,0.0,H,,,,,,,
215,1993-12-13,Norwich,Leeds,2.0,1.0,H,,,,,,,
216,1993-12-18,Sheffield Weds,West Ham,5.0,0.0,H,,,,,,,
217,1993-12-18,Tottenham,Liverpool,3.0,3.0,D,,,,,,,
218,1993-12-18,Swindon,Southampton,2.0,1.0,H,,,,,,,
219,1993-12-18,Leeds,Arsenal,2.0,1.0,H,,,,,,,
220,1993-12-18,Wimbledon,Sheffield United,2.0,0.0,H,,,,,,,
221,1993-12-18,Everton,Newcastle,0.0,2.0,A,,,,,,,
222,1993-12-18,Coventry,Oldham,1.0,1.0,D,,,,,,,
223,1993-12-18,Blackburn,Man City,2.0,0.0,H,,,,,,,
224,1993-12-18,Ipswich,Norwich,2.0,1.0,H,,,,,,,
225,1993-12-19,Man United,Aston Villa,3.0,1.0,H,,,,,,,
226,1993-12-22,Newcastle,Leeds,1.0,1.0,D,,,,,,,
227,1993-12-26,Man United,Blackburn,1.0,1.0,D,,,,,,,
228,1993-12-26,Sheffield United,Liverpool,0.0,0.0,D,,,,,,,
229,1993-12-26,Wimbledon,Coventry,1.0,2.0,A,,,,,,,
230,1993-12-27,QPR,Oldham,2.0,0.0,H,,,,,,,
231,1993-12-27,Ipswich,West Ham,1.0,1.0,D,,,,,,,
232,1993-12-27,Everton,Sheffield Weds,0.0,2.0,A,,,,,,,
233,1993-12-27,Southampton,Chelsea,3.0,1.0,H,,,,,,,
234,1993-12-27,Swindon,Arsenal,0.0,4.0,A,,,,,,,
235,1993-12-27,Tottenham,Norwich,1.0,3.0,A,,,,,,,
236,1993-12-28,Man City,Southampton,1.0,1.0,D,,,,,,,
237,1993-12-28,West Ham,Tottenham,1.0,3.0,A,,,,,,,
238,1993-12-28,Chelsea,Newcastle,1.0,0.0,H,,,,,,,
239,1993-12-28,Liverpool,Wimbledon,1.0,1.0,D,,,,,,,
240,1993-12-29,Arsenal,Sheffield United,3.0,0.0,H,,,,,,,
241,1993-12-29,Blackburn,Everton,2.0,0.0,H,,,,,,,
242,1993-12-29,Leeds,QPR,1.0,1.0,D,,,,,,,
243,1993-12-29,Norwich,Aston Villa,1.0,2.0,A,,,,,,,
244,1993-12-29,Oldham,Man United,2.0,5.0,A,,,,,,,
245,1993-12-29,Sheffield Weds,Swindon,3.0,3.0,D,,,,,,,
246,1994-01-01,Tottenham,Coventry,1.0,2.0,A,,,,,,,
247,1994-01-01,Sheffield United,Oldham,2.0,1.0,H,,,,,,,
248,1994-01-01,Swindon,Chelsea,1.0,3.0,A,,,,,,,
249,1994-01-01,Southampton,Norwich,0.0,1.0,A,,,,,,,
250,1994-01-01,Wimbledon,Arsenal,0.0,3.0,A,,,,,,,
251,1994-01-01,QPR,Sheffield Weds,1.0,2.0,A,,,,,,,
252,1994-01-01,Ipswich,Liverpool,1.0,2.0,A,,,,,,,
253,1994-01-01,Man United,Leeds,0.0,0.0,D,,,,,,,
254,1994-01-01,Everton,West Ham,0.0,1.0,A,,,,,,,
255,1994-01-01,Aston Villa,Blackburn,0.0,1.0,A,,,,,,,
256,1994-01-01,Newcastle,Man City,2.0,0.0,H,,,,,,,
257,1994-01-03,Arsenal,QPR,0.0,0.0,D,,,,,,,
258,1994-01-03,Chelsea,Everton,4.0,2.0,H,,,,,,,
259,1994-01-03,Coventry,Swindon,1.0,1.0,D,,,,,,,
260,1994-01-03,Sheffield Weds,Tottenham,1.0,0.0,H,,,,,,,
261,1994-01-03,West Ham,Sheffield United,0.0,0.0,D,,,,,,,
262,1994-01-04,Liverpool,Man United,3.0,3.0,D,,,,,,,
263,1994-01-04,Norwich,Newcastle,1.0,2.0,A,,,,,,,
264,1994-01-15,Wimbledon,Sheffield Weds,2.0,1.0,H,,,,,,,
265,1994-01-15,Sheffield United,Blackburn,1.0,2.0,A,,,,,,,
266,1994-01-15,Tottenham,Man United,0.0,1.0,A,,,,,,,
267,1994-01-15,Southampton,Coventry,1.0,0.0,H,,,,,,,
268,1994-01-15,Oldham,Liverpool,0.0,3.0,A,,,,,,,
269,1994-01-15,Aston Villa,West Ham,3.0,1.0,H,,,,,,,
270,1994-01-15,Man City,Arsenal,0.0,0.0,D,,,,,,,
271,1994-01-15,Leeds,Ipswich,0.0,0.0,D,,,,,,,
272,1994-01-15,Everton,Swindon,6.0,2.0,H,,,,,,,
273,1994-01-15,Norwich,Chelsea,1.0,1.0,D,,,,,,,
274,1994-01-16,QPR,Newcastle,1.0,2.0,A,,,,,,,
275,1994-01-22,Newcastle,Southampton,1.0,2.0,A,,,,,,,
276,1994-01-22,Swindon,Tottenham,2.0,1.0,H,,,,,,,
277,1994-01-22,Sheffield Weds,Sheffield United,3.0,1.0,H,,,,,,,
278,1994-01-22,Man United,Everton,1.0,0.0,H,,,,,,,
279,1994-01-22,Liverpool,Man City,2.0,1.0,H,,,,,,,
280,1994-01-22,Ipswich,Wimbledon,0.0,0.0,D,,,,,,,
281,1994-01-22,Coventry,QPR,0.0,1.0,A,,,,,,,
282,1994-01-22,Chelsea,Aston Villa,1.0,1.0,D,,,,,,,
283,1994-01-22,Arsenal,Oldham,1.0,1.0,D,,,,,,,
284,1994-01-23,Blackburn,Leeds,2.0,1.0,H,,,,,,,
285,1994-01-24,West Ham,Norwich,3.0,3.0,D,,,,,,,
286,1994-02-02,Coventry,Ipswich,1.0,0.0,H,,,,,,,
287,1994-02-05,Tottenham,Sheffield Weds,1.0,3.0,A,,,,,,,
288,1994-02-05,Swindon,Coventry,3.0,1.0,H,,,,,,,
289,1994-02-05,QPR,Man United,2.0,3.0,A,,,,,,,
290,1994-02-05,Oldham,Southampton,2.0,1.0,H,,,,,,,
291,1994-02-05,Man City,Ipswich,2.0,1.0,H,,,,,,,
292,1994-02-05,Everton,Chelsea,4.0,2.0,H,,,,,,,
293,1994-02-05,Blackburn,Wimbledon,3.0,0.0,H,,,,,,,
294,1994-02-05,Norwich,Liverpool,2.0,2.0,D,,,,,,,
295,1994-02-06,Aston Villa,Leeds,1.0,0.0,H,,,,,,,
296,1994-02-12,Tottenham,Blackburn,0.0,2.0,A,,,,,,,
297,1994-02-12,Wimbledon,Newcastle,4.0,2.0,H,,,,,,,
298,1994-02-12,Sheffield United,Coventry,0.0,0.0,D,,,,,,,
299,1994-02-12,Oldham,Chelsea,2.0,1.0,H,,,,,,,
300,1994-02-12,Man City,West Ham,0.0,0.0,D,,,,,,,
301,1994-02-12,Everton,Ipswich,0.0,0.0,D,,,,,,,
302,1994-02-12,Aston Villa,Swindon,5.0,0.0,H,,,,,,,
303,1994-02-13,Norwich,Arsenal,1.0,1.0,D,,,,,,,
304,1994-02-14,Southampton,Liverpool,4.0,2.0,H,,,,,,,
305,1994-02-19,Leeds,Liverpool,2.0,0.0,H,,,,,,,
306,1994-02-19,Everton,Arsenal,1.0,1.0,D,,,,,,,
307,1994-02-19,Swindon,Norwich,3.0,3.0,D,,,,,,,
308,1994-02-19,Blackburn,Newcastle,1.0,0.0,H,,,,,,,
309,1994-02-19,Coventry,Man City,4.0,0.0,H,,,,,,,
310,1994-02-22,Aston Villa,Man City,0.0,0.0,D,,,,,,,
311,1994-02-22,Norwich,Blackburn,2.0,2.0,D,,,,,,,
312,1994-02-23,Newcastle,Coventry,4.0,0.0,H,,,,,,,
313,1994-02-26,Southampton,Wimbledon,1.0,0.0,H,,,,,,,
314,1994-02-26,Arsenal,Blackburn,1.0,0.0,H,,,,,,,
315,1994-02-26,Ipswich,Sheffield United,3.0,2.0,H,,,,,,,
316,1994-02-26,Liverpool,Coventry,1.0,0.0,H,,,,,,,
317,1994-02-26,Man City,Swindon,2.0,1.0,H,,,,,,,
